order_id,customer_id,amount,order_date
1,48,406.3,2025-02-21
2,6,63.83,2024-11-22
3,6,253.1,2024-05-09
4,635,202.22,2024-11-11
5,676,217.39,2023-10-01
6,521,451.76,2024-05-02
7,888,220.32,2024-09-12
8,456,187.35,2023-12-22
9,411,22.05,2024-02-11
10,494,138.83,2024-12-08
11,278,236.55,2024-01-30
12,986,397.96,2025-05-03
13,273,297.35,2025-06-21
14,316,202.78,2023-09-16
15,352,238.52,2024-07-26
16,530,92.8,2024-04-16
17,352,20.5,2025-07-13
18,399,77.39,2024-07-10
19,613,264.51,2024-10-16
20,923,334.62,2025-03-11
21,880,44.85,2024-06-05
22,253,65.53,2023-11-04
23,946,454.06,2024-02-16
24,437,441.78,2024-09-06
25,827,89.51,2023-09-18
26,507,107.99,2023-11-20
27,597,278.52,2024-12-11
28,972,483.22,2024-03-31
29,75,375.9,2025-08-10
30,311,291.26,2025-05-26
31,983,458.76,2025-07-03
32,731,65.89,2025-08-10
33,613,315.28,2025-09-14
34,123,381.1,2025-04-26
35,635,10.39,2025-06-12
36,393,152.42,2025-05-08
37,116,364.21,2024-03-06
38,938,111.17,2024-11-29
39,224,326.52,2024-01-15
40,898,265.05,2024-01-05
41,940,220.94,2024-04-07
42,25,313.99,2024-09-28
43,888,314.46,2025-04-10
44,230,113.06,2023-12-20
45,359,156.79,2025-01-22
46,514,482.83,2024-10-15
47,702,481.1,2025-02-02
48,51,308.14,2025-05-31
49,763,78.62,2024-05-10
50,415,197.36,2024-07-22
51,752,389.73,2024-02-10
52,520,97.44,2024-10-30
53,152,270.57,2025-04-16
54,325,66.21,2024-09-02
55,330,452.51,2025-01-24
56,867,469.92,2024-01-11
57,639,141.46,2024-01-11
58,897,41.82,2025-02-22
59,876,467.48,2025-01-01
60,695,239.14,2024-01-19
61,575,293.27,2025-04-26
62,214,94.53,2024-01-15
63,72,291.81,2024-10-05
64,781,301.2,2024-11-28
65,912,202.63,2025-08-22
66,266,148.01,2025-06-24
67,124,142.12,2025-06-23
68,575,290.07,2025-05-10
69,587,289.64,2024-01-08
70,21,29.41,2024-01-21
71,864,216.24,2023-12-03
72,614,76.75,2024-09-14
73,133,489.19,2025-08-14
74,1000,377.24,2025-04-27
75,905,329.72,2025-05-13
76,141,250.32,2025-09-09
77,911,19.5,2025-06-04
78,802,450.01,2024-02-23
79,322,245.87,2024-11-26
80,218,319.02,2025-01-10
81,344,261.28,2025-05-15
82,955,237.19,2023-12-09
83,388,369.85,2023-11-27
84,996,181.08,2023-11-26
85,723,295.45,2024-09-29
86,788,149.77,2025-06-25
87,319,67.85,2025-08-26
88,857,88.28,2025-06-21
89,711,93.27,2024-04-04
90,618,242.11,2025-02-18
91,142,171.47,2023-12-26
92,369,31.31,2025-08-31
